Handle,Timestamp,Content,Comments,Retweets,Likes
@cz_binance,2023-01-02T21:00:01.000Z,"Will try to keep 2023 simple. Spend more time on less things. Do's and Don'ts.

1. Education
2. Compliance
3. Product & Service

4. Ignore FUD, fake news, attacks, etc.

In the future, would appreciate if you can link to this post when I tweet ""4"". ",41K,34K,71K
@binance,2023-10-26T09:00:14.000Z,"We’re excited to announce Kyrylo Khomiakov as our new Regional Head for CEE and Central Asia.

Alongside his deep understanding of local markets and the wider industry, Kyrylo will leverage his 15 years of leadership experience to expand our international presence.

Learn more ",277,197,992
@cz_binance,2023-10-25T18:50:15.000Z, much transparency in crypto.,691,592,3.1K
@cz_binance,2023-10-25T11:31:09.000Z,Technical issue with a middleware service impacting withdrawals. Funds are SAFU. Our team is on it. ,813,673,4.3K
@cz_binance,2023-01-02T21:00:01.000Z,"Will try to keep 2023 simple. Spend more time on less things. Do's and Don'ts.

1. Education
2. Compliance
3. Product & Service

4. Ignore FUD, fake news, attacks, etc.

In the future, would appreciate if you can link to this post when I tweet ""4"". ",41K,34K,71K
@cz_binance,2023-10-24T15:12:18.000Z,"Crypto is volatile.

Remember to exercise prudent risk management when trading. If you don't know what TP/SL means, you should learn about it.

Screen shot from a demo.",1.2K,1.1K,6K
@cz_binance,2023-10-24T06:50:00.000Z,"gm to the holders. It wasn't easy, but...",2.3K,1.7K,14K
@cz_binance,2023-10-23T15:12:16.000Z,"The golden ticket to train with  Ronaldo, with flights/hotel/etc covered by #Binance, still hasn't been claimed.

Get your free CR7 ForeverZone box and it could be yours. http://binance.com/en/activity/cr7-nft…",560,554,2.5K
@binance,2023-10-23T12:06:35.000Z,"Is it Uptober?

Catch the wave on #Binance!

Trade $50 of #Bitcoin or your other favourite coins on spot to win a share of 5,000 $USDT in token vouchers.

Start here  https://binance.com/en/support/announcement/01c2871b7138476d8adbdc7cf539edfe?ref=AZTKZ9XS&utm_source=BinanceTwitter&utm_medium=GlobalSocial&utm_campaign=GlobalSocial…",454,359,1.5K
@binance,2023-10-23T08:00:01.000Z,"#Binance Halloween has only just begun.

Get ready for spooooky activities!",513,452,1.8K
@binance,2023-10-17T16:45:34.000Z,"From ‘Challenge’ to ‘Change’.

Earlier this year, we hosted a good deed challenge for Ramadan, where our #Binance community proposed ways to do good with $3,000.

Meet , our winner! ",305,293,1.2K
@cz_binance,2023-10-20T11:23:38.000Z,3 years...,745,998,5.5K
@cz_binance,2023-10-19T20:39:15.000Z,Keep building. https://binance.com/en/feed/post/1415905?ref=527648310&utm_campaign=app_share_link&utm_source=twitter…,1.4K,1.1K,5.9K
@BinanceVIP,2023-10-16T15:24:06.000Z,"How do market makers influence price volatility and market liquidity?, the VP of Market-Making at  will break it down for you on Oct 23rd on #Binance VIP Voices.

Set a reminder  https://safu.im/22ZSGQOl",182,290,828
@ChartsBtc,2023-10-18T18:00:09.000Z,"Bitcoin's evolution: 1st halving $12, 2nd halving $648, 3rd halving $8,572. The 4th halving is in 6 months  #Bitcoin",357,572,1.7K
@cz_binance,2023-10-18T15:53:34.000Z,"Things to do and not do when you see me at an event. 

1. Always happy to take a selfie. Let’s do it quickly. Don’t try to pitch your project (especially when there are many others waiting).

2. Please post the selfie on social media afterwards, for all to see. Please do not use…",1.3K,825,5.9K
@cz_binance,2023-10-18T07:14:22.000Z,"""I think there is a world market for maybe five computers."" - Thomas Watson, president of IBM, 1943 ",820,698,4.6K
@BNBCHAIN,2023-10-17T13:16:12.000Z,"Today we’re launching the BNB Greenfield Mainnet!

Our decentralized data storage network is now fully released to the public, marking a new era for Web3 data ownership.

In just five months, we've made incredible strides! [1/7]",662,7K,7.9K
@cz_binance,2023-10-17T11:29:19.000Z,"Earlier today, there was a hardware failure...",858,440,2.2K
@cz_binance,2023-10-16T16:31:22.000Z,"They say developers like to stay in a dark room, alone, no commute, work from 2PM to 5AM...

Daily Life of Binance Developers",554,427,1.9K
@cz_binance,2023-10-16T14:00:15.000Z,Beware of phishing scams.,380,306,1.6K
@TrustWallet,2023-10-16T11:58:23.000Z,"Introducing #TrustWallet's biggest update yet; our reimagined brand, revamped app & #TrustWalletExtensionWe’ve evolved into more than just a wallet. Explore our new #Web3 gateway & control your own financial freedom. #FreedomFoundationsGet readyhttps://short.trustwallet.com/NewTrust",1.6K,5.8K,10K
@cz_binance,2023-10-16T10:10:49.000Z,"You won't be able to escape inflation completely, but there are many tools you can use to shield yourself from it to a large extent. You have choices.",978,818,4.9K
@cz_binance,2023-10-16T07:07:52.000Z,Deflationary #BNB,621,774,3.8K
@binance,2023-10-16T06:52:56.000Z,#Binance completes the 25th Quarterly #BNB Burn! 2.14m #BNB has been burned ,558,896,3.2K
@cz_binance,2023-10-16T07:00:23.000Z,,407,316,1.8K
@cz_binance,2023-10-15T21:29:47.000Z,It feels like every crypto guy I know are in UAE or Bahrain,1.2K,667,5.6K
@cz_binance,2023-10-14T21:58:54.000Z,"If you form your opinions from other peoples opinions, especially from online, you are doomed to be poor. 

Get facts, then form your own opinions. 

Ps. 99% of “facts” out there are opinions, assumptions, inaccurate, wrong, or deliberately false. open your eyes. ",1.3K,1.8K,9.1K
@cz_binance,2023-10-14T22:06:22.000Z,This is my opinion. ,286,115,1.6K
@matt_levine,2023-10-14T19:18:42.000Z,"this is absolutely wild but my favorite bit is maybe when someone asks ""what's the #1 thing that CZ might find in diligence that could blow up the deal"" and she's like ""oh nothing, FTX is pretty straightforward, except for the customer funds shortfall.""",154,321,2.8K
@cz_binance,2023-10-13T13:37:56.000Z,Dex rising. ,940,654,3.3K
@cz_binance,2023-10-11T18:59:00.000Z,"""Still a fan..."" Lesson: Forget about your competitors; focus on your customers. - Jack Ma",1K,907,5.6K
@binance,2023-10-11T14:00:05.000Z,"#Binance and  are giving away 50,000 free surprises!

And one lucky winner will win the golden ticket - a trip to train with the GOAT.

Join us at the CR7 ForeverZone to claim your free CR7 ForeverZone Box ",600,689,2.3K
@cz_binance,2023-10-11T14:05:42.000Z,This feature impacts some trading & cancelling behaviors. Please take note.,522,298,1.7K
@cz_binance,2023-10-10T17:22:36.000Z,here is my submission #Bin4nce,2K,1.5K,9.8K
@cz_binance,2023-10-10T11:15:53.000Z,"Another Launchpool.

Keep building, and keep supporting builders.",35,396,2K
@cz_binance,2023-10-10T09:07:48.000Z,"#BNB is a fair launch token. Ie, no one got free BNB tokens from the initial supply. The ""team tokens"" was never moved or used, it was only burnt.

Speaking of which, another burn coming up in a few days! ",1K,953,4.6K
@cz_binance,2023-10-09T16:42:38.000Z,"In my world:

The more people working on a task, the slower it moves. The less people working on a task, the faster it gets done.",1.7K,1.4K,9.1K
@cz_binance,2023-10-09T13:18:41.000Z,"Copy trading is now live on #Binance. 

You can replicate the trades of some of the best traders on our platform.

Try it here: https://app.binance.com/en/copy-trading?_dp=L2NvcHlUcmFkaW5nL2hvbWU=…",38,621,2.7K
@cz_binance,2023-10-09T08:52:20.000Z,Beware of scammers. Stay #SAFU!,715,649,2.8K
@cz_binance,2023-10-08T18:52:12.000Z,"#Binance added the #bitcoin halving countdown to our homepage.

And here are my thoughts around the Bitcoin Halvings...",929,1.2K,5.5K
@cz_binance,2023-10-06T21:02:54.000Z,UK update,38,532,2.7K
@TrustWallet,2023-10-04T15:07:58.000Z,The countdown is on.   #FreedomFoundations #TrustYourself,971,1.7K,4.8K
@cz_binance,2023-10-06T08:47:53.000Z,#Binance Feed doesn't have an API. No bots. https://binance.com/en/feed,815,495,2.1K
@cz_binance,2023-10-05T21:14:05.000Z,Education,420,241,1.3K
@cz_binance,2023-10-05T20:42:57.000Z,"Just made my first post on  Feed.  You can too.

It's a new platform. As always, we welcome your feedback to improve it.

As I have 0 followers and followings now, I will follow the early adopters aggressively. Go there and follow me. ",963,645,3.1K
@cz_binance,2023-10-05T20:31:47.000Z,"All KYC'ed users around the world. Hopefully, there will be less spam and bots.

(No US users. This feature is not available on ).",348,329,1.5K
@cz_binance,2023-10-05T16:42:35.000Z,"Who designed this bike? If we can find the original creator (of the image), I will give him some #BNB. 

Don't know why, I kinda like it. ",1.5K,831,5.4K
@cz_binance,2023-10-05T13:24:07.000Z,"Just saw the interns launched a 4 photoshop contest…

We’ll give 1 #BNB to 10 of our favorite edits of this photo.

Use #Bin4nce when you share it so they can find them ",1.3K,788,3.6K
